,name,group,source_nmi,infom/iid,infom/independent,cinfom/iid,cinfom/independent,seed
60,independent,diagonal_strengthen,0.0,0.7021992217395633,0.7021992217395633,0.42309765727160153,0.42309765727160153,414
61,independent,diagonal_remove,0.0,0.7021992217395633,0.7021992217395633,0.42309765727160153,0.42309765727160153,414
62,independent,corner,0.0,0.7021992217395633,0.7021992217395633,0.42309765727160153,0.42309765727160153,414
63,corner:6,corner,0.004,0.7512107084344353,0.7522967100797063,0.3526747076089239,0.3516515463662024,414
64,corner:8,corner,0.013,0.6680031438021176,0.6729996673144489,0.36733192318267655,0.3668140574104037,414
65,corner:10,corner,0.026,0.6947453834319073,0.7012313101242739,0.367465761790495,0.3637494827652869,414
66,corner:12,corner,0.043,0.7267733671554651,0.7630359855407928,0.3280611140014124,0.3142625186460235,414
67,diagonal_remove:0,diagonal_remove,0.007,0.7088092410528127,0.7152331675109546,0.4153869160895819,0.4083614524811834,414
68,diagonal_remove:1,diagonal_remove,0.015,0.7968887911565279,0.8102773474956957,0.44731790078347244,0.44482248253206674,414
69,diagonal_remove:2,diagonal_remove,0.026,0.7183704507181533,0.7445096743585637,0.39255375446145985,0.39039381155237446,414
70,diagonal_remove:3,diagonal_remove,0.039,0.7200514452920866,0.7644099767180235,0.42920094246665297,0.42490551903961193,414
71,diagonal_strengthen:500,diagonal_strengthen,0.005,0.702817847683508,0.7081522838569877,0.4243369582206007,0.4243356550769333,414
72,diagonal_strengthen:1000,diagonal_strengthen,0.013,0.7565045140174248,0.7684710963110511,0.4075194660681936,0.40755412889412,414
73,diagonal_strengthen:1500,diagonal_strengthen,0.022,0.6991702308621548,0.7294364452624332,0.38005898796879206,0.3803353340353066,414
74,diagonal_strengthen:2500,diagonal_strengthen,0.041,0.7176858561018076,0.7682243630985004,0.4089617367929979,0.4125541309523306,414
75,independent,diagonal_strengthen,0.0,0.7519708043121822,0.7519708043121822,0.44164188713151104,0.44164188713151104,415
76,independent,diagonal_remove,0.0,0.7519708043121822,0.7519708043121822,0.44164188713151104,0.44164188713151104,415
77,independent,corner,0.0,0.7519708043121822,0.7519708043121822,0.44164188713151104,0.44164188713151104,415
78,corner:6,corner,0.004,0.7778651778263987,0.7783508523950606,0.3877135825656889,0.38729047774409003,415
79,corner:8,corner,0.013,0.8003393293373275,0.8115905404555119,0.4382203569666323,0.4405837512105973,415
80,corner:10,corner,0.026,0.7563847782254329,0.765639845220792,0.3927340228711889,0.3919106504317973,415
81,corner:12,corner,0.043,0.6822627241284149,0.7069803884492989,0.31805879312350327,0.2988001608338443,415
82,diagonal_remove:0,diagonal_remove,0.007,0.781952028018188,0.7884018504699479,0.46129002206823855,0.45481353121736495,415
83,diagonal_remove:1,diagonal_remove,0.015,0.7822738534387311,0.8056190347033495,0.4513617240538952,0.4481532434804149,415
